ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0
11.18028447,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,0
7.360640106,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,0
7.119824384,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,0
6.347271761,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,0
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,0
7.371050302,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,0
6.660212026,168.2837469,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,77.04231805,3.749701241,0
5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0
6.514415093,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281,5.200885077,0
3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,0
7.181448581,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.53795326,5.088859989,0
10.43329098,117.7912296,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,65.73347839,5.057310517,0
7.414148196,235.0445345,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725,3.160624468,0
5.115817064,191.952743,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,49.23823132,3.902088768,0
3.641629777,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.59465676,3.464353035,0
9.267187531,198.6143947,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,30.38331457,4.324004646,0
5.331940479,194.8740654,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,59.57271371,4.434820258,0
7.145771545,238.6899285,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,66.13804475,5.182590704,0
9.920691059,202.817483,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,71.83362396,4.69070723,0
6.953864226,209.638293,10575.18628,4.462707246,315.6065944,391.1843151,13.28533392,87.39088898,3.195710328,0
10.68296643,173.3754984,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,78.47278445,3.999775382,0
8.757257397,200.1914004,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,47.93087188,3.626135442,0
7.809631898,100.4576151,12013.55063,5.212314602,247.200826,605.2201244,9.61134874,66.08417364,2.447444464,0
6.652488091,145.0101719,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,71.72741406,3.742090426,0
9.147197055,211.7141418,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,47.63488493,3.794531591,0
10.56074464,181.8933656,21783.65103,6.991259996,340.3903784,456.5564021,16.48283537,34.25204908,3.96468635,0
8.520806573,238.3351125,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,39.09117136,3.94060453,0
4.999413811,190.2870501,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0
3.906078355,233.402835,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,63.74306384,3.902879712,0
6.391353624,213.0178297,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,17.91572257,3.923749169,0
5.058108869,238.5693804,34873.93452,8.983276144,374.4335045,669.7250862,13.35318143,76.52179975,5.106655774,0
7.261550522,179.8897882,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,50.99300645,3.636364183,0
7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
5.704764776,116.2993299,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,48.14703125,4.157533407,0
